 Vars ,R,G,B
       USA ,0,0,100
   GERMANY ,100,60,0
     JAPAN ,100,0,0
    FRANCE ,0,100,100
        UK ,0,50,120
     ITALY ,0,100,50
    CANADA ,100,30,0
  NETHERLA ,50,90,0
  HONG_KON ,70,70,70
  BELGIUM_ ,70,70,70
     CHINA ,110,70,70
    TAIWAN ,70,70,100
  KOREA_RP ,70,100,70
  SINGAPOR ,70,0,70
     SPAIN ,0,70,70
  SWITZERL ,70,70,0
    SWEDEN ,100,0,70
    MEXICO ,30,100,70
  MALAYSIA ,30,50,100
  SAUDI_AR ,110,90,30
  AUSTRALI ,30,90,0
    BRAZIL ,20,100,20
  THAILAND ,70,70,90
   AUSTRIA ,30,30,30
   DENMARK ,30,50,100
  INDONESI ,30,30,70
    NORWAY ,15,90,0
   IRELAND ,30,80,30
   FINLAND ,50,30,15
   FM_USSR ,70,70,70
