Country or Area Code, Country or Area Name, Educational levels,80,85,90,94
4,Afghanistan,lv1,1115993,580499,622513,1161444
4,Afghanistan,lv2,136898,105032,182340,497762
4,Afghanistan,lv3,,,24333,
8,Albania,lv1,552651,543775,551294,550737
8,Albania,lv2,163866,177679,205774,93830
8,Albania,lv3,14568,21995,22059,
12,Algeria,lv1,3118827,3481288,4189152,4548827
12,Algeria,lv2,1028294,1823392,2175580,2472569
12,Algeria,lv3,79351,132057,285930,298767
16,American Samoa,lv1,,7704,,
16,American Samoa,lv3,976,758,,
24,Angola,lv1,1300673,974498,990155,
24,Angola,lv2,190702,178910,187436,
24,Angola,lv3,2333,5034,6534,
28,Antigua and Barbuda,lv1,,,,10727
32,Argentina,lv1,3917449,4589291,4965395,5180713
32,Argentina,lv2,1326680,1800049,2160410,2307821
32,Argentina,lv3,491473,846145,,1069617
36,Australia,lv1,1718352,1542101,1583024,1639577
36,Australia,lv2,1100468,1278272,1278163,2003504
36,Australia,lv3,323716,370048,485075,932969
40,Austria,lv1,400397,343823,370210,381363
40,Austria,lv2,937484,847188,746272,786156
40,Austria,lv3,136774,173215,205767,233989
31,Azerbaijan,lv1,473298,487748,527370,606903
31,Azerbaijan,lv2,1008831,930557,867386,877809
31,Azerbaijan,lv3,186024,182145,163901,120870
44,Bahamas,lv1,32854,32848,32873,32684
44,Bahamas,lv2,28136,27604,,28435
44,Bahamas,lv3,4093,4531,,3960
48,Bahrain,lv1,48451,57330,66597,72329
48,Bahrain,lv2,26528,38577,47005,56057
48,Bahrain,lv3,1908,4180,6868,7701
50,Bangladesh,lv1,8240169,8920292,11939949,
50,Bangladesh,lv2,2659208,3125219,3592995,
50,Bangladesh,lv3,240181,461073,434309,
52,Barbados,lv1,31147,,,
52,Barbados,lv2,28818,,161,
52,Barbados,lv3,4033,,6651,2862
112,Belarus,lv1,750300,796600,614800,636300
112,Belarus,lv2,759700,716700,968200,1024600
112,Belarus,lv3,339800,342400,335284,292800
56,Belgium,lv1,842117,730288,719372,738768
56,Belgium,lv2,,824997,769438,1061790
56,Belgium,lv3,196153,247499,276248,352630
84,Belize,lv1,34615,39212,46023,51377
84,Belize,lv2,5435,7048,7904,10272
204,Benin,lv1,379926,444163,490129,677900
204,Benin,lv2,89969,107172,72256,107248
204,Benin,lv3,4822,9063,10873,10986
60,Bermuda,lv1,5934,,,5962
60,Bermuda,lv2,4347,,,3553
60,Bermuda,lv3,608,,,
64,Bhutan,lv1,29899,45395,,60089
64,Bhutan,lv2,,6094,,7459
64,Bhutan,lv3,322,,,
68,Bolivia,lv1,978250,,1278775,
68,Bolivia,lv2,,,219232,
68,Bolivia,lv3,60900,88175,102001,
72,Botswana,lv1,171914,223608,283516,310128
72,Botswana,lv2,20969,36144,61767,91862
72,Botswana,lv3,1078,1938,3365,7728
76,Brazil,lv1,22598254,24769736,28943619,31220110
76,Brazil,lv2,,3016175,3498777,4510199
76,Brazil,lv3,1409243,,1540080,1716263
92,British Virgin Islands,lv1,1974,,2340,2625
92,British Virgin Islands,lv2,791,,1124,
96,Brunei Darussalam,lv1,30513,34815,,42270
96,Brunei Darussalam,lv2,17441,20462,,28851
96,Brunei Darussalam,lv3,143,,,1539
100,Bulgaria,lv1,994018,1080979,960681,825984
100,Bulgaria,lv2,314753,374565,391550,371102
100,Bulgaria,lv3,101359,113795,188479,223030
854,Burkina Faso,lv1,201595,351807,504414,650195
854,Burkina Faso,lv2,27539,53565,98929,
854,Burkina Faso,lv3,1644,4085,5425,9452
