 Vars ,       USA ,   GERMANY ,     JAPAN ,    FRANCE ,        UK ,     ITALY ,    CANADA ,  NETHERLA ,  HONG_KON ,  BELGIUM_ ,     CHINA ,    TAIWAN ,  KOREA_RP ,  SINGAPOR ,     SPAIN ,  SWITZERL ,    SWEDEN ,    MEXICO ,  MALAYSIA ,  SAUDI_AR ,  AUSTRALI ,    BRAZIL ,  THAILAND ,   AUSTRIA ,   DENMARK ,  INDONESI ,    NORWAY ,   IRELAND ,   FINLAND ,   FM_USSR 
       USA ,17219,12601648,23167107,9462157,15481136,6563465,40988616,6832689,2802565,6041963,4100385,4580979,4814127,3230515,4178592,3241940,2218431,14397743,1577614,5884002,4336569,4702254,1208073,697783,1002653,1510588,1228703,897026,790162,1647989
   GERMANY ,11707023,0,2236487,22763229,13303766,16449483,1162243,17421986,522897,14460201,912259,535065,539513,693514,2797546,10322227,5558095,1052584,473268,2649669,1137706,1459071,298549,10068221,3581803,534436,2329722,758510,1939206,3901562
     JAPAN ,34262982,5692898,0,2666442,4156500,1256364,2471860,1576578,5299042,1228085,5412327,5399020,5882089,4290425,826268,1205722,937676,1179979,2415315,5507924,3476389,1266840,2030623,555073,433258,3627066,596569,268073,493592,2985453
    FRANCE ,5085889,18300653,1123001,65763,8887894,13810544,639071,5225575,268543,10237145,300722,106668,160397,307300,2870003,4872802,1458323,520834,180453,1617570,311501,701702,92409,964989,810918,226542,570456,564903,473788,2441408
        UK ,11206839,13132124,1610730,8567788,0,4704567,1756667,6966587,1239405,6081548,397755,294638,305029,806104,1777119,6431800,4065788,410474,585365,2450813,1868275,534900,221084,715089,2434877,284979,2412878,5991085,1346480,1049493
     ITALY ,4276057,14345514,740281,11993886,5143439,0,484330,2611260,252311,2507203,254009,133507,95383,209482,1640155,3410471,876585,365657,115767,2102233,456027,398152,109830,2139822,538692,73080,348667,243470,340200,1259501
    CANADA ,44271123,1907561,4266253,1086594,3204021,1002483,0,716722,173056,572043,759366,250265,433340,172334,268356,353032,320844,443963,93030,248385,589640,922383,110890,115663,97164,146682,402117,135756,146147,1434982
  NETHERLA ,1942166,21619501,374105,7492836,7269728,4231859,210461,0,162228,11616444,146513,142971,89641,258631,815747,1430823,1344889,116777,65438,989796,219213,247116,111286,751704,1423720,405535,600687,323160,418980,503753
  HONG_KON ,5497942,1730566,907871,373798,1729153,284951,446854,361134,0,223650,1335211,622235,230320,876013,137719,388098,231909,51529,201473,281688,506634,20446,214383,117668,94407,961917,67085,33823,50444,16033
  BELGIUM_ ,2085462,13538277,345663,11924011,6116050,3678931,210493,9462574,360610,0,103310,67766,228062,124732,575951,2342366,1125008,234009,61588,575980,143257,163289,47823,511090,694516,57039,578948,214183,253888,613081
